job,years,education,salary,company,scale,job_url
外账会计,1-3年,大专,5000,广州铭熙工商财税代理有限公司,20-99人,http://jobs.zhaopin.com/373330582250036.htm
代理外账会计组长,1-3年,大专,7000,广州铭熙工商财税代理有限公司,20-99人,http://jobs.zhaopin.com/373330582250035.htm
会计,3-5年,本科,5000,岭南不良资产处置(广东)有限公司,20-99人,http://jobs.zhaopin.com/CC646379836J00097959408.htm
会计,1-3年,大专,5000,网域科技,100-499人,http://jobs.zhaopin.com/121068931250856.htm
往来会计,1-3年,大专,5000,掌上快销,1000-9999人,http://jobs.zhaopin.com/CC701095421J00134560407.htm
会计,1-3年,大专,5000,广州升月进出口贸易有限公司,20-99人,http://jobs.zhaopin.com/CC268971613J00091398802.htm
会计助理/实习生,不限,大专,1500,广州铭熙工商财税代理有限公司,20-99人,http://jobs.zhaopin.com/373330582250011.htm
记账会计,3-5年,本科,5000,天津世纪广源评价监测股份有限公司,100-499人,http://jobs.zhaopin.com/CC594495722J00055063609.htm
会计助理(急聘）,无经验,大专,3000,广州哨之兵电子科技有限公司,20-99人,http://jobs.zhaopin.com/CC257063123J00172942801.htm
外账会计（高薪+双休）,1-3年,中专,3500,广州穗轩财税咨询有限公司,20-99人,http://jobs.zhaopin.com/CC416758289J00060077306.htm
财务会计,1-3年,大专,5000,广州市银柏信息咨询有限公司,20人以下,http://jobs.zhaopin.com/438060730250000.htm
会计,1-3年,本科,5500,广州仕邦人力资源有限公司,500-999人,http://jobs.zhaopin.com/CC131876576J00102547602.htm
实习会计,无经验,大专,1500,深圳图治财务顾问有限公司广州分公司,100-499人,http://jobs.zhaopin.com/280090482250015.htm
天河诚聘双休外账会计,不限,大专,5000,深圳图治财务顾问有限公司广州分公司,100-499人,http://jobs.zhaopin.com/280090482250083.htm
